Token,Cantidad
the,1237369
of,515016
and,479691
in,438212
to,404173
a,336027
was,221725
s,149343
as,140313
on,139485
for,136739
that,134077
by,122394
with,118836
his,112427
he,102192
at,92205
from,87159
were,79223
is,77504
it,73603
had,72067
an,62541
which,55093
be,45884
but,44387
not,42023
this,41675
their,39577
after,38471
first,37778
are,36508
her,35835
have,35439
its,35072
one,34399
been,34397
they,33909
or,32704
two,32686
who,31924
also,31921
would,28148
when,27769
during,26761
other,25579
time,24912
she,24856
new,24380
has,24001
more,23911
into,23112
him,21464
over,21205
only,20623
all,20519
most,20515
than,20404
later,19996
between,19081
while,18734
about,18609
1,18471
years,18023
three,17832
there,17822
some,17464
year,17035
may,16887
000,16831
no,16452
made,16350
before,16060
such,16055
became,15525
many,15291
i,15233
up,15160
out,15062
these,14865
both,14000
them,13664
where,13565
including,13544
although,13281
2,13241
used,13205
several,12913
early,12828
then,12715
against,12595
did,12566
could,12536
through,12440
under,12433
second,12374
known,12162
part,12007
until,11811
began,11681
well,11615
war,11609
work,11537
four,11272
being,11240
following,11158
so,11106
state,10918
south,10890
however,10875
3,10851
5,10773
city,10739
north,10611
found,10228
day,10187
took,10098
team,9849
british,9824
m,9799
because,9747
season,9641
since,9536
government,9360
century,9337
around,9313
4,9293
end,9223
states,9217
km,9165
called,9151
world,9123
people,9085
can,9071
any,9005
number,8930
said,8831
million,8730
game,8690
each,8684
area,8648
if,8585
film,8573
large,8540
united,8471
another,8396
american,8388
september,8361
wrote,8329
high,8326
long,8303
much,8228
five,8198
along,8153
left,8145
10,8134
series,8032
6,7984
king,7855
use,7847
same,7841
led,7809
october,7678
death,7657
june,7576
family,7533
august,7530
march,7502
home,7434
july,7429
music,7358
west,7355
near,7319
those,7308
what,7268
like,7235
received,7214
house,7161
england,7158
major,7151
public,7148
november,7106
species,7069
back,7058
late,7055
men,7042
according,7039
8,7016
off,7016
april,6991
life,6967
own,6939
within,6926
january,6886
december,6880
among,6854
due,6825
group,6824
now,6821
7,6797
included,6653
place,6648
days,6642
won,6632
six,6626
president,6617
continued,6598
though,6592
east,6540
small,6536
described,6513
played,6486
further,6479
general,6466
still,6465
often,6461
even,6446
last,6418
20,6393
french,6359
line,6352
held,6347
next,6336
based,6282
down,6279
name,6263
national,6253
final,6240
again,6217
set,6193
support,6186
army,6176
members,6082
school,6035
named,6025
died,6020
third,5995
9,5970
30,5952
considered,5924
12,5920
local,5920
water,5902
old,5882
15,5873
february,5860
built,5847
system,5843
few,5829
despite,5829
german,5794
former,5747
best,5717
park,5710
returned,5700
moved,5690
without,5673
came,5659
ship,5633
english,5605
just,5602
party,5593
company,5564
0,5544
record,5497
us,5489
album,5481
white,5450
period,5415
role,5392
great,5377
force,5279
released,5273
